ID ucznia	Imię	Nazwisko	Klasa	Ocena
1	Anna	Kowalski	1A	4
2	Michał	Nowak	2C	5
3	Katarzyna	Król	1B	3
4	Piotr	Wójcik	2A	2
5	Agnieszka	Kamiński	1C	6
6	Tomasz	Lewandowski	2B	4
7	Natalia	Król	1A	3
8	Paweł	Król	2A	5
9	Magdalena	Szymański	1B	1
10	Krzysztof	Woźniak	2C	4
11	Julia	Kowalski	1C	6
12	Marcin	Lewandowski	2B	2
13	Aleksandra	Mazur	1A	3
14	Łukasz	Kwiatkowski	1B	5
15	Zuzanna	Kaczmarek	2A	4
16	Mateusz	Król	2C	1
17	Karolina	Mazur	1C	6
18	Adam	Kowalski	2B	3
19	Weronika	Michalski	1A	2
20	Jakub	Król	2A	4
21	Monika	Wieczorek	1B	5
22	Kamil	Kamiński	2C	3
23	Oliwia	Kowalski	1C	6
24	Rafał	Nowicki	2B	2
25	Emilia	Król	1A	4
26	Dawid	Król	1C	1
27	Patrycja	Kamiński	2A	5
28	Sebastian	Lewandowski	2C	3
29	Martyna	Lewandowski	1B	4
30	Filip	Kamiński	2B	2
